43.79045   -0.17786   8459.00    0.028216	29.98   
 43.80082   -0.18356   8648.00    0.028847	14.09   
 44.34946   -0.30942   8736.00    0.029141	32.08
43.79505   -0.17973   8403.00    0.02803	20.09    
 43.80029   -0.17575   8256.00    0.027539	20.09   
 43.77748   -0.1625    8417.00    0.028077	20.09   
 44.13746   -0.18203   8676.00    0.02894	3.0	    	
 43.35536   -0.23241   8194.00    0.027332   	16.79
 43.94544   -0.10416   8759.00    0.029218   	18.59
 44.16956   -0.24565   8712.00    0.029059   	16.49
 43.35551   -0.23281   8580.00    0.02862    	20.09
 43.50888   0.45935    8722.00    0.029092   	15.59
 43.53782   -0.25686   8480.00    0.028286   	1.5
 43.79802   -0.18528   8403.00    0.02803    	18.59
 44.4614    -0.03872   8670.00    0.028921   	12.59
 43.08856   -0.80704   8585.00    0.028638   	1.5
 43.15966   -0.14995   8678.00    0.028946   	1.5
 43.1935    0.00325    8305.00    0.027704   	13.19
 43.28788   -0.72803   8762.00    0.029228   	6.3
 43.32354   -0.80131   8734.00    0.029133   	3.0
 43.37007   -0.67351   8878.00    0.029614   	1.8
 43.37332   -0.23488   8622.00    0.02876    	17.09
 43.39403   -0.22437   8612.00    0.028728   	14.99
 43.41683   0.01031    8268.00    0.027579   	19.49
 43.50268   0.00375    8129.00    0.027117   	3.0
 43.52447   -0.29571   8233.00    0.027463   	19.79
 43.59217   -0.5939    8196.00    0.027338   	43.77
 43.60066   -0.11246   8206.00    0.027372   	9.59
 43.65139   0.04327    8097.00    0.027008   	12.29
 43.72122   -0.19367   8622.00    0.028761   	2.4
 43.75297   -0.16386   8153.00    0.027195   	27.28
 43.76548   -0.29226   8272.00    0.027594   	28.78
 43.79588   -0.24973   8430.00    0.028118   	29.68
 43.86117   -0.16489   8826.00    0.029439   	3.9
 43.99904   -0.40162   8802.00    0.029361   	57.78
 44.01476   -0.1817    8602.00    0.028693   	28.48
 44.13701   -0.1812    8737.00    0.029144   	1.8
 44.149     -0.17689   8731.00    0.029122   	3.3
 44.21012   -0.39431   8693.00    0.028997   	2.4
 44.22765   0.00786    8746.00    0.029175   	2.1
 44.32023   0.00151    8556.00    0.028539   	23.38
 44.46211   -0.82864   8832.00    0.029459   	1.8
